1383784445835,0,0
1383784447759,1,1
1383784473388,2,2
1383784560344,3,3
1383787660256,4,4
1383787660971,5,5
1383787661521,6,6
1383787662235,7,7
1383787662851,8,8
1383787663436,9,9
1383787664134,10,10
1383787664765,11,11
1383787665364,12,12
1383787666036,13,13
1383787666647,14,14
1383787803886,15,15
1383787804682,16,16
1383787805417,17,17
1383788834297,18,18
1383788835190,19,19
1383788835925,20,20
1383788836606,21,21
1383788837973,22,22
1383788838819,23,23
1383788839639,24,24
1383788840353,25,25
1383788841167,26,26
1383788841886,27,27
1383789166395,28,28
1383789167345,29,29
1383789179912,30,30
1383789321768,31,31
1383789389929,32,32
1383789391026,33,33
1383789448028,34,34
1383789547448,35,35
1383789548316,36,36
1383789588917,37,37
1383789589698,38,38
1383789604252,39,39
1383789901480,40,40
1383789902328,41,41
1383790055747,42,42
1383790063603,43,43
1383790390512,44,44
1383790391381,45,45
1383790392458,46,46
1383790393360,47,47
1383790394257,48,48
1383790395258,49,49
1383790396022,50,50
1383790443075,51,51
1383790482286,52,52
1383791101194,53,53
1383791101995,54,54
1383791102821,55,55
1383791103559,56,56
1383791105123,57,57
1383798143829,58,58
,,
