1375918275890,0,0
1375918277194,1,1
1375918277342,2,2
1375918472163,3,3
1375920669868,4,4
1375920669995,5,5
1375920670173,6,6
1375920671795,7,7
1375920718136,8,8
1375920718285,9,9
1375921004478,8,9
1375921343579,9,10
1375921691438,10,11
1375921691716,11,12
1375921692034,12,13
1375921705082,13,14
1375921746153,14,15
1375922057978,15,16
1375922058094,16,17
1375922339777,17,18
1375922589339,18,19
1375922699048,19,20
1375922746828,20,21
1375922747095,21,22
1375922747424,22,23
1375922747732,23,24
1375922748060,24,25
1375922857087,25,26
1375922919482,26,27
1375923087324,27,28
1375923087444,28,29
1375923123343,29,30
1375923123631,30,31
1375923123979,31,32
1375923245204,32,33
1375923346571,33,34
1375923393553,34,35
1375923466963,35,36
1375923579869,36,37
1375923580048,37,38
1375923590987,38,39
1375923591176,39,40
1375923596666,40,41
1375923607624,41,42
1375923745781,42,43
1375923767311,43,44
1375923767479,44,45
1375923958307,45,46
1375923991966,46,47
1375923992234,47,48
1375923993608,46,48
1375924043193,47,48
1375924347070,48,49
1375924382013,49,50
1375924382182,50,51
1375924428030,51,52
1375924858156,52,53
1375924895851,53,54
1375924896036,54,55
1375925108186,55,56
1375925273502,56,57
1375925552848,57,58
1375925553106,58,59
1375925553433,59,60
1375925553761,60,61
1375925571325,61,62
1375925571523,62,63
1375925691444,61,63
1375925691851,60,63
1375925692229,59,63
1375925692587,58,63
1375925822174,59,64
1375925822194,60,65
1375925901312,61,66
1375925992366,62,67
1375926205440,63,68
1375926322498,64,69
1375926361154,65,70
1375926719797,66,71
1375927006984,67,72
1375927101555,66,72
1375927141568,67,73
1375927141742,68,74
1375927444859,69,75
1375927532477,68,75
1375927878306,69,75
1375928358904,70,76
1375928359033,71,77
1375928396105,72,78
1375928868875,73,79
1375928869003,74,80
1375929198880,75,81
1375929384090,76,82
1375929529388,77,83
1375929550198,78,84
1375930027335,79,85
1375930974915,80,86
1375930998752,79,86
1375930999175,78,86
1375930999584,77,86
1375930999991,76,86
1375931105515,75,86
1375931105843,74,86
1375931106192,73,86
1375931106459,72,86
1375931106868,71,86
1375931109135,70,86
1375931109981,69,86
1375931121753,68,86
1375931122020,67,86
1375931176162,66,86
1375931176301,65,86
1375931176449,64,86
1375931176579,63,86
1375931176848,62,86
1375931176998,61,86
1375931177156,60,86
1375931187617,59,86
1375931986435,60,87
1375932219892,59,87
1375932220011,58,87
1375932220129,57,87
1375932220279,56,87
1375932220507,55,87
1375932220726,54,87
1375932220895,53,87
1375932221015,52,87
1375932221144,51,87
1375932221264,50,87
1375932221452,49,87
1375932221582,48,87
1375932221711,47,87
1375932221850,46,87
1375932221969,45,87
1375932222119,44,87
1375932222258,43,87
1375932222397,42,87
1375932222526,41,87
1375932222665,40,87
1375932222874,39,87
1375932223003,38,87
1375932223132,37,87
1375932223253,36,87
1375932223580,35,87
1375932223779,34,87
1375932224326,33,87
1375932224535,32,87
1375932224704,31,87
1375932224853,30,87
1375932224992,29,87
1375932225131,28,87
1375932225251,27,87
1375932225360,26,87
1375932225480,25,87
1375932225609,24,87
1375932225718,23,87
1375932225839,22,87
1375932225938,21,87
1375932226056,20,87
1375932226176,19,87
1375932226544,18,87
1375932226712,17,87
1375932226842,16,87
1375932226981,15,87
1375932227121,14,87
1375932227260,13,87
1375932227469,12,87
1375932227996,11,87
1375932228187,10,87
1375932228404,9,87
1375932228732,8,87
1375932375925,9,88
1375934143196,10,89
1375934143364,11,90
1375934143653,12,91
1375936152703,11,91
1375936152830,10,91
1375936152959,9,91
1375936153068,8,91
1375936153207,7,91
1375936153337,6,91
1375936153475,5,91
1375936153614,4,91
1375936153764,3,91
1375936153933,2,91
1375936154201,1,91
1375936154778,0,91
,,
